# ks3_science_swaps.tsv — MRB-257 phase 3b-ii · MRB-255 S1–S15, MRB-251, audit 5.36–5.39
# Every row carries a RULING from MRB-255 or MRB-251, or an audit finding number.
# Fields: id<TAB>page<TAB>old<TAB>new. Empty `new` means cut the string.
# Structural payloads (bands, verdict branches, instrument config) are NOT here —
# they are record edits with no single old/new string. See the phase report.
S2a	aerobic-respiration.html	Every living cell has them, and cells that work hardest have the most. Not in the lungs, not in the blood — in the cells themselves.	Almost every cell has them, and cells that work hardest have the most. Not in the lungs, not in the blood — in the cells themselves. The red blood cell is the exception you met in Specialised cells, and having none is why it cannot use the oxygen it carries.
S2b	aerobic-respiration.html	It happens in the mitochondria of every living cell, continuously, and it is a chemical reaction — not breathing, which is the muscular job that supplies it.	It happens in the mitochondria of almost every cell, continuously, and it is a chemical reaction — not breathing, which is the muscular job that supplies it. The red blood cell is the exception you met in Specialised cells, and it is why it cannot use its own cargo.
S2c	aerobic-respiration.html	It happens in the mitochondria of every living cell, all the time, in small enzyme-controlled steps at body temperature.	It happens in the mitochondria of almost every cell, all the time, in small enzyme-controlled steps at body temperature. The red blood cell is the exception, and having no mitochondria is why it cannot use its own cargo.
S3	the-gas-exchange-system.html	This is where oxygen enters the blood and carbon dioxide leaves it, and it is the only place in the body where that happens.	This is where oxygen enters the blood and carbon dioxide leaves it, and once you are breathing air it is the only place in your body where that happens — before you were born, the placenta did all of it.
S7	a-balanced-diet.html	which would be a lifetime supply for four hundred thousand people and would poison you long before you finished the plate	which would be a year’s supply for about half a million people and would poison you long before you finished the plate
S8	alveoli-built-for-exchange.html	The bag holds the same air and offers roughly a hundredth of a square metre of exchange surface instead of about seventy.	The bag holds the same air and offers roughly a sixth of a square metre of exchange surface instead of about seventy.
S9	specialised-cells.html	Because about a quarter of all your cells are red blood cells, and every one would otherwise carry a third less oxygen.	Because roughly five in every six of your cells are red blood cells, and every one would otherwise carry a third less oxygen.
S10	antagonistic-muscle-pairs.html	Gravity will straighten a hanging arm for free — which is one reason the triceps is the smaller of the two.	Gravity will straighten a hanging arm for free — which is one reason the triceps does less work than you would expect.
S11	bacteria-in-the-gut.html	and your entire supply of vitamin K is made by bacteria in your own large intestine	and a large part of your vitamin K is made by bacteria in your own large intestine
S12a	gestation-placenta-and-birth.html	Gestation is the time from implantation to birth, about 40 weeks in humans.	Gestation is the time from fertilisation to birth, about 38 weeks in humans — the familiar 40 weeks is counted from the first day of the last period.
S12b	gestation-placenta-and-birth.html	The time a developing organism spends in the uterus, from implantation to birth — about 40 weeks in humans.	The time a developing organism spends in the uterus, from fertilisation to birth — about 38 weeks in humans.
S13a	aerobic-vs-anaerobic.html	Entirely anaerobic — no oxygen is being used	Almost entirely anaerobic — very little oxygen is available
S13b	aerobic-vs-anaerobic.html	This is the one case on the bench with no aerobic respiration in it at all — and it is not an emergency for the yeast, it is a living.	This is one of the two cases on the bench where fermentation supplies nearly all the energy — and it is not an emergency for the yeast, it is a living.
S13c	aerobic-vs-anaerobic.html	Three of the five are not the answer most people give first, and one of them has no aerobic respiration in it at all.	Three of the five are not the answer most people give first, and in two of them fermentation is supplying nearly all the energy.
5.36	exercise-asthma-and-smoking.html	The four options are the same every time, and only one of the three factors hits the same part twice.	The four options are the same every time, and only one of the three factors damages more than one part.
5.37	chromosomes-genes-and-dna.html	Six levels, and the last four are all the same molecule seen at different magnifications.	Six levels, and the last three are all the same molecule seen at different magnifications.
5.39	variation-and-competitive-success.html	The bench below runs the same population through five different environments and the winner changes every time.	The bench below runs the same population through five different environments, and no one variation wins in all of them — in the last, nothing wins at all.
S5a	predator-and-prey.html	Predator and prey numbers rise and fall in a repeating cycle, and the predator peak always comes after the prey peak.	Predator and prey numbers rise and fall together, and the predator peak always comes after the prey peak.
S5b	predator-and-prey.html	which takes the pressure off the rabbits, who recover, and the whole thing goes round again.	which takes the pressure off the rabbits, who recover, and the pattern repeats — each swing smaller than the last.
S5c	predator-and-prey.html	each overshoots the level it could sustain, corrects, overshoots the other way, and goes round again.	each overshoots the level it could sustain, corrects, overshoots the other way, and swings again — a little less far each time.
